path_id,x,y,z
0,9.4215,-135.5324,72.1969
1,-42.1040,-121.4437,75.2196
2,-44.1781,-127.9059,74.5766
3,-42.5715,-127.0329,77.1564
4,-42.9828,-128.9722,78.6626
5,-42.5626,-127.0340,80.1698
6,-16.3990,-133.7144,76.9857
7,-15.7905,-133.7148,74.4287
8,-12.9950,-133.7167,75.1033
9,-7.1764,-134.4756,78.2910
10,-6.9518,-134.2256,79.2985
11,-0.0386,-126.5263,74.8896
12,4.9268,-129.5468,76.6273
13,9.8328,-126.5098,74.2131
14,11.4435,-126.3980,78.6999
15,13.1128,-126.6576,78.7519
16,13.9513,-125.4343,80.0730
17,14.2900,-131.3786,82.0959
18,14.7886,-130.8804,81.6202
19,17.2249,-130.4026,78.6583
20,15.4592,-126.9859,74.2361
21,18.0869,-127.9183,74.4179
22,5.8345,-138.3004,73.2312
23,8.4216,-140.2783,73.1862
24,9.7140,-140.2135,74.0921
25,12.6852,-139.6204,80.8076
26,11.8583,-140.0792,80.9585
27,11.0075,-140.5564,78.7641
28,11.4347,-140.9069,77.9044
29,12.7201,-140.7739,76.6619
30,14.1296,-141.3408,74.3543
31,15.5534,-141.1562,74.7713
32,24.4284,-141.0957,74.9138
33,24.2233,-141.1372,76.8252
34,24.5103,-141.7896,79.2334
35,25.5778,-141.6275,79.9664
36,32.9975,-132.9842,76.7767
37,33.3887,-133.4757,77.9962
38,35.5939,-133.2390,75.0906
39,62.2756,-146.4643,78.4571
40,62.2930,-144.9547,80.4045
41,62.5077,-144.5217,78.8904
42,63.3545,-141.4909,77.1598
43,63.5613,-140.8410,75.2141
